authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
F. Fursich,A. Tomasovych,A. Tomasovych,8363,Y.,Almeras,M.,Hanzo,,1991,Les Rhynchonellides du Calcaire a gryphees d`Hettange (Sinemurien-NE France): etude des peuplements et enregistrement des variations du paleoenvironnement,"Palaeogeography, Palaeoclimatology, Palaeoecology",,86,,313,329,journal article,stated without evidence,French,,,,NA,2003-03-25 05:02:08,2003-03-26 00:02:08
F. Fursich,A. Tomasovych,A. Tomasovych,8366,A.,Hallam,,,,1960,A sedimentary and faunal study of the Blue Lias of Dorset and Glamorgan,"Philosophical Transactions of the Royal Society, London",,243,,1,44,journal article,stated without evidence,,,,,NA,2003-03-27 07:38:01,2003-03-28 02:38:01
F. Fursich,A. Tomasovych,A. Tomasovych,8370,M.,Hanzo,B.,Lathuiliere,"Y. Almeras, G. Dagallier, S. Guerin-Franiatte, F. Guillocheau, V. Huault, L. Nori, R. Rauscher",2000,"Paleoenvironnements dans le Calcaire a gryphees du Lias de Lorraine, de la carriere de Xeuilley au Bassin parisien",Eclogae geologica helvetica,,93,,183,206,journal article,stated without evidence,French,,,,NA,2003-04-01 03:52:36,2003-04-01 21:52:36
L. Villier,L. Villier,L. Villier,8605,D.S,Jones,R.W,Portell,,1988,Occurrence and biogeographic significance of Heliaster (Echinodermata: Asteroidea) from the Pliocene of southwest Florida,Journal of Paleontology,,62,1,126,132,journal article,stated without evidence,,,,,NA,2003-06-02 06:11:18,2003-06-02 23:11:18
D. Bottjer,N. Bonuso,N. Bonuso,8769,J. A.,Hogler,,,,1992,"Community structure, paleoecology, and depositional environments within the Upper Triassic Luning Formation of Nevada",,,,,,NA,Ph.D. thesis,stated without evidence,,,Ph.D. thesis from Univeristy of California at Berkeley,,NA,2003-07-07 12:45:58,2003-07-12 07:05:45
D. Bottjer,C. Powers,M. Clapham,8855,A.,Hyatt,J. P.,Smith,,1905,The Triassic cephalopod genera of America,United States Geological Survey Professional Paper,,40,,1,394,serial monograph,stated with evidence,English,,,,NA,2003-07-25 12:40:17,2010-08-30 08:47:04
W. Kiessling,W. Kiessling,W. Kiessling,9081,D. C.,Lowry,,,,1970,Geology of the Western Australian part of the Eucla basin,Geological Survey of Western Australia Bulletin,,122,,1,201,journal article,stated without evidence,,,,,NA,2003-09-02 10:19:37,2003-09-03 03:19:37
W. Kiessling,W. Kiessling,W. Kiessling,9081,D. C.,Lowry,,,,1970,Geology of the Western Australian part of the Eucla basin,Geological Survey of Western Australia Bulletin,,122,,1,201,journal article,stated without evidence,,,,,,2003-09-02 10:19:37,2003-09-03 03:19:37
W. Kiessling,W. Kiessling,W. Kiessling,9120,G.M.A.,El-Asa'ad,,,,1989,Callovian colonial corals from the Tuwaiq Mountain Limestone of Saudi Arabia,Palaeontology,,32,3,675,684,journal article,stated without evidence,,,,,NA,2003-09-09 05:58:07,2003-09-09 22:58:07
A. Miller,A. Hendy,A. Hendy,9411,C. W.,Oyen,R. W.,Portell,,2001,Diversity patterns and biostratigraphy of Cenozoic echinodems from Florida,"Palaeogeography, Palaeoclimatology, Palaeoecology",,166,,193,218,journal article,stated without evidence,English,,Keywords: Asterozoa; biodiversity; biologic evolution; biostratigraphy; Cenozoic; Crinoidea; Crinozoa; Echinodermata; Echinoidea; Echinozoa; faunal list; Florida; fossilization; Invertebrata; Ophiuroidea; patterns; preservation; statistical analysis; Stelleroidea; taxonomy; United States,1%,460,2003-10-23 16:56:29,2003-10-24 09:56:29
A. Miller,A. Hendy,A. Hendy,9432,L. W.,Ward,T.R.,Waller,,1988,A new species of Pulvinites (Mollusca: Bivalvia) from the upper Paleocene Paspotansa Member of the Aquia Formation in Virginia,Journal of Paleontology,,62,1,51,55,journal article,stated without evidence,English,,Keywords: Aquia Formation; Atlantic Coastal Plain; Bivalvia; Cenozoic; Eocene; Invertebrata; Landenian; lower Eocene; marine environment; Mollusca; new taxa; Ostreacea; Paleocene; Paleogene; paleontology; Paspotansa Member; Pterioida; Pulvinites lawrencei; Pulvinitidae; shelf environment; Stafford County Virginia; Tertiary; United States; upper Paleocene; Virginia,1%,6820,2003-10-28 15:03:51,2003-10-29 10:03:51
A. Miller,A. Hendy,A. Hendy,9438,T. H.,Aldrich,,,,1921,New Eocene species from Alabama,Bulletins of American Paleontology,,9,37,,,journal article,stated without evidence,English,,Keywords: Alabama; Cenozoic; Eocene; Eocene Mollusca; Invertebrata; Mollusca; Paleogene; paleontology; Tertiary; United States,1%,22880,2003-10-31 01:29:05,2003-10-31 20:29:05
M. Foote,M. Foote,P. Wagner,9567,M,Krawczy&#324;ski,,,,2002,"Frasnian gastropod synecology and bio-events in the Dyminy reef complex of the Holy Cross Mountains, Poland",Acta Palaeontologica Polonica,,47,2,267,288,journal article,stated without evidence,English,,,,NA,2003-12-10 09:37:28,2007-10-12 05:41:47
M. Foote,M. Foote,M. Foote,9581,J.,Day,,,,1988,The brachiopod succession of the Late Givetian-Frasnian of Iowa,"Devonian of the World, Volume III. Canadian Society of Petroleum Geologists. Calgary, Alberta, Canada","N. J. McMillan, A. F. Embry, and D. J. Glass",,,303,325,book/book chapter,stated without evidence,,,,,NA,2003-12-17 10:06:28,2003-12-18 05:06:29
M. Aberhan,S. Nurnberg,S. Nurnberg,9638,W.,Etter,,,,1990,Pal�ontologische Untersuchungen im unteren Opalinuston der Nordschweiz,,,,,151pp.,,Ph.D. thesis,stated without evidence,German,,,,NA,2004-01-08 05:27:51,2006-09-20 19:30:14
W. Kiessling,W. Kiessling,W. Kiessling,9711,J. W.,Reinhardt,,,,1988,"Uppermost Permian reefs and Permo-Triassic sedimentary facies from the southeastern margin of Sichuan Basin, China",Facies,,18,,231,288,journal article,stated without evidence,,,,,NA,2004-01-19 08:08:29,2004-01-20 03:08:29
M. Aberhan,S. Nurnberg,S. Nurnberg,9775,R. P.,Wright,,,,1974,Jurassic Bivalves from Wyoming and South Dakota: A study of feeding relationsips,Journal of Paleontology,,48,3,425,433,journal article,stated without evidence,,,,,NA,2004-02-03 05:47:22,2004-02-04 00:47:22
W. Kiessling,W. Kiessling,W. Kiessling,9823,L.,Beauvais,,,,1966,Etude des Madr�poraires jurassiques du Sahara tunisien,Annales de Pal�ontologie (Invert�brates),,52,2,115,152,journal article,stated without evidence,French,,,,NA,2004-02-09 04:53:26,2004-02-09 23:53:26
M. Aberhan,S. Nurnberg,S. Nurnberg,9861,S. E.,Damborenea,,,,2002,"Early Jurassic bivalves of Argentina: Part 3, Superfamilies Monotoidea, Pectinoidea, Plicatuloidea and Dimyoidea",Palaeontographica Abteilung A,,265,1-4,1,119,serial monograph,stated without evidence,English,,,,NA,2004-02-17 03:31:39,2004-02-17 22:31:39
W. Kiessling,B. Brenneis,B. Brenneis,9872,B,Senowbari-Daryan,,,,1996,Upper Triassic Reefs and Reef communities of Iran,"G�ttinger Arbeiten zur Geologie und Pal�ontologie, Sb",,,2,299,304,journal article,stated without evidence,,,,,NA,2004-02-18 06:03:38,2004-02-19 01:03:38
W. Kiessling,B. Brenneis,M. Clapham,9881,G. D.,"Stanley, Jr.",,,,1994,Upper Triassic corals from Peru,Palaeontographica Abteilung A,,233,,75,98,journal article,stated without evidence,English,,,,NA,2004-02-20 01:08:37,2013-05-11 12:17:59
W. Kiessling,B. Brenneis,M. Clapham,9894,B.,Senowbari-Daryan,,,,1994,"Mesozoic sponges of the Pucara Group, Peru",Palaeontographica Abteilung A,,233,,57,74,journal article,stated without evidence,English,,,,NA,2004-02-23 01:53:42,2013-05-11 12:18:43
W. Kiessling,B. Brenneis,M. Clapham,9896,M. R.,Sandy,,,,1994,"Triassic-Jurassic articulate brachiopods from the Pucara Group, central Peru, and description of the brachidial net in the spiriferid Spondylospira",Palaeontographica Abteilung A,,233,,99,126,journal article,stated without evidence,English,,,,NA,2004-02-23 03:22:50,2013-05-11 12:17:08
W. Kiessling,B. Brenneis,M. Clapham,9911,A. B.,Smith,,,,1994,Triassic echinoids from Peru,Palaeontographica Abteilung A,,233,,177,202,journal article,stated without evidence,English,,,,NA,2004-02-24 02:54:20,2013-05-11 12:14:18
W. Kiessling,B. Brenneis,M. Clapham,9914,K.,Bandel,,,,1994,Comparison of Upper Triassic and Lower Jurassic gastropods from the Peruvian Andes (Pucara Group) and the Alps (Cassian Formation),Palaeontographica Abteilung A,,233,,127,160,journal article,stated without evidence,English,,,,NA,2004-02-24 04:25:30,2013-05-11 12:16:34
J. Alroy,E. Leckey,M. Clapham,10016,M. B.,Aguirre-Urreta,P. F.,Rawson,,1999,"Lower Cretaceous ammonites from the Neuquen Basin, Argentina: Viluceras, a new Valanginian subgenus of Olcostephanus",Cretaceous Research,,20,,343,357,journal article,stated without evidence,English,,,,NA,2004-03-11 16:42:39,2014-06-24 06:18:39
A. Miller,A. Hendy,A. Hendy,10027,L,Marincovich,,,,1983,"Molluscan paleontology, paleoecology, and North Pacific correlations of the Miocene Tachilni Formation, Alaska Peninsula, Alaska",Bulletin of American Paleontology,,84,317,1,155,serial monograph,stated without evidence,,,,,NA,2004-03-14 19:49:58,2004-03-15 14:49:58
S. Holland,S. Holland,S. Holland,10032,R. A.,Fortey,M.L.,Droser,,1996,"Trilobites at the base of the Middle Ordovician, western United States",Journal of Paleontology,,70,1,73,991,journal article,stated without evidence,,,,1%,NA,2004-03-15 11:34:36,2004-03-16 06:34:36
A. Miller,A. Hendy,M. Krause,10059,R. C.,Allison,L.,Marincovich,,1981,"A late Oligocene or earliest Miocene molluscan fauna from Sitkinak Island, Alaska",United States Geological Survey Professional Paper,,1233,,1,11,journal article,stated without evidence,English,,,,NA,2004-03-18 19:33:26,2015-09-10 17:55:20
A. Miller,A. Hendy,P. Wagner,10064,E. J.,Moore,,,,1976,Oligocene marine mollusks from the Pittsburg Bluff Formation in Oregon,United States Geological Survey Professional Paper,,922,,1,66,journal article,stated without evidence,English,,,,NA,2004-03-20 13:03:52,2016-03-19 15:22:12
M. Patzkowsky,A. Krug,A. Krug,10070,L.,Hints,,,,1998,Oandu stage (Caradoc) in central North Estonia,Proceedings of the Estonian Academy of Science,,47,3,158,172,journal article,stated without evidence,,,,,NA,2004-03-23 11:43:52,2004-03-24 06:43:52
W. Kiessling,B. Brenneis,B. Brenneis,10112,B.,Senowbari-Daryan,K.,Seyed-Emami,A. Aghanabati,1997,Some Inozoid sponges from Upper Triassic (Norian-Rhaetian) Nayband Formation of Central Iran,Rivista Italiana di Paleontologia e Stratigrafia,,103,3,293,322,journal article,stated without evidence,,,,,NA,2004-03-29 03:44:41,2004-03-29 21:44:41
W. Kiessling,B. Brenneis,P. Wagner,10119,A.,N�tzel,B.,Senowbari-Daryan,,1999,Gastropods from the Late Triassic (Norian-Rhaetian) Nayband Formation of central Iran,Beringeria,,23,,93,132,journal article,stated with evidence,English,,,,NA,2004-03-30 03:15:21,2006-01-16 10:32:00
A. Miller,A. Hendy,A. Hendy,10120,W. D.,Smith,L.L.,Ruff,,1938,"The Geology and Mineral Resources of Lane County, Oregon",State of Oregon Department of Geology and Mineral Industries Bulletin,,11,,1,65,serial monograph,stated without evidence,,,Geology; economic geology,,,2004-03-30 05:50:21,2004-03-30 23:50:21
M. Foote,M. Foote,M. Foote,10247,M.R.W.,Amler,D.,Heidelberger,,2003,Late Famennian Gastropoda from south-west England,Palaeontology,,46,6,1151,1211,journal article,stated without evidence,,,,,NA,2004-04-14 12:37:57,2004-04-15 05:37:57
M. Foote,M. Foote,M. Foote,10303,E. A.,Edmonds,A.,Whittaker,B. J. Williams,1985,,"Geology of the country around Ilfracombe and Barnstaple (Memoirs of the British Geological Survey for 1:50000 sheets 277 and 293, new series)",,,,1,97,book/book chapter,stated without evidence,,,,,NA,2004-04-21 09:12:30,2004-04-22 02:12:30
M. Foote,M. Foote,M. Foote,10310,R. V.,Kesling,R. B.,Chilman,,1975,Strata and megafossils of the Middle Devonian Silica Formation,University of Michigan Papers on Paleontology,,8,,1,408,serial monograph,stated without evidence,,,,,NA,2004-04-21 18:09:30,2004-04-22 11:09:30
D. Bottjer,M. Clapham,M. Clapham,10420,T. V.,Mayou,,,,1967,"Paleontology of the Permian Loray Formation in White Pine County, Nevada","Brigham Young University Research Studies, Geology Series",,14,,101,122,journal article,stated without evidence,English,,,,NA,2004-05-03 12:00:29,2017-04-10 03:33:16
M. Uhen,M. Uhen,M. Uhen,10422,R. S.,Banks,,,,1978,Stratigraphy of the Eocene Santee Limestone in three quarries of the Coastal Plain of South Carolina,Geologic Notes,,21,3,85,149,journal article,stated without evidence,English,,journal AKA South Carolina Geology,,,2004-05-03 13:19:55,2013-09-27 03:37:20
M. Foote,M. Foote,J. Alroy,10428,J.,Le Menn,,,,1987,"Nouveaux echinodermes des schistes et calcaires du Devonien inferieure du bassin de Laval (Massif Armoricain, France)",G�obios,,20,2,215,235,journal article,stated without evidence,French,,,,NA,2004-05-04 13:04:27,2006-12-31 09:12:36
M. Aberhan,S. Nurnberg,S. Nurnberg,10520,N. W.,Archbold,G. A.,Thomas,,1985,Permian Spiriferellinae (Brachiopoda) from Western Australia,Alcheringa,,9,1,35,48,journal article,stated without evidence,,,,1%,NA,2004-05-16 05:38:45,2004-05-16 22:38:46
A. Miller,A. Hendy,P. Wagner,10532,C. J. S.,Hickman,,,,1969,The Oligocene marine molluscan fauna of the Eugene Formation in Oregon,University of Oregon Museum of Natural History Bulletin,,16,,1,112,serial monograph,stated without evidence,English,,"Stratigraphy, age and correlation, paleontology, paleoecology, and systematic paleontology of the Eugene Formation",,,2004-05-17 09:32:41,2015-11-22 13:58:05
M. Foote,M. Foote,M. Foote,10563,P. A.,Jell,,,,1999,Silurian and Devonian crinoids from central Victoria,Memoirs of the Queensland Museum,,43,1,1,114,journal article,stated without evidence,,,,,NA,2004-05-20 14:00:17,2004-05-21 07:00:25
D. Bottjer,M. Clapham,M. Clapham,10570,B. S.,Kues,,,,1995,"Marine fauna of the Early Permian (Wolfcampian) Robledo Mountains Member, Hueco Formation, southern Robledo Mountains, New Mexico",New Mexico Museum of Natural History and Science Bulletin,,6,,63,90,journal article,stated without evidence,English,,,,NA,2004-05-21 10:31:35,2017-04-10 03:33:29
A. Miller,A. Hendy,A. Hendy,10616,E. J.,Moore,,,,1963,Miocene marine mollusks from the Astoria Formation in Oregon,United States Geological Survey Professional Paper,,419,,,,serial monograph,stated without evidence,,,Systematics and relationships of the mollusks of the Astoria Formation in Oregon: 97 species representing 45 families are described; 11 species are new,,NA,2004-05-25 21:36:51,2004-05-26 14:36:51
A. Miller,A. Hendy,A. Hendy,10621,W. P.,Woodring,M.N.,Bramlette,,1950,Geology and paleontology of the Santa Maria District California,United States Geological Survey Professional Paper,,222,,,,serial monograph,stated without evidence,,,"Stratigraphy, paleontology, igneous geology, structure and including a summary of the geologic features of producing and potentially producing oil fields.",,NA,2004-05-26 07:43:50,2004-05-27 00:43:50
M. Aberhan,S. Nurnberg,S. Nurnberg,10664,I.,Hayami,,,,1975,A systematic survey of the Mesozoic Bivalvia from Japan,"The University Museum, The University of Tokyo, Bulletin",,,10,,,serial monograph,stated without evidence,,,,,NA,2004-05-28 11:48:45,2004-05-29 04:48:45
M. Aberhan,S. Nurnberg,S. Nurnberg,10664,I.,Hayami,,,,1975,A systematic survey of the Mesozoic Bivalvia from Japan,"The University Museum, The University of Tokyo, Bulletin",,,10,,NA,serial monograph,stated without evidence,,,,,NA,2004-05-28 11:48:45,2004-05-29 04:48:45
D. Bottjer,M. Clapham,M. Clapham,10679,B. R.,Wardlaw,,,,1977,The biostratigraphy and paleoecology of the Gerster Limestone (Upper Permian) in Nevada and Utah,U.S.G.S. Open File Report,,77,470,1,125,serial monograph,stated without evidence,English,,,,NA,2004-05-29 16:06:02,2017-04-10 03:34:00
D. Bottjer,M. Clapham,M. Clapham,10837,J. B.,Waterhouse,,,,1983,"Systematic description of Permian brachiopods, bivalves and gastropods below Wall Sandstone Member, northern Bowen Basin","Papers - Department of Geology, University of Queensland",,10,3,155,179,journal article,stated without evidence,English,,,,NA,2004-06-12 17:37:12,2014-01-26 04:38:28
D. Bottjer,M. Clapham,M. Clapham,10841,H.,Chronic,,,,1952,"Molluscan fauna from the Permian Kaibab Formation, Walnut Canyon, Arizona",Geological Society America Bulletin,,63,2,95,166,journal article,stated without evidence,,,,,NA,2004-06-13 10:41:54,2004-06-14 03:41:54
M. Foote,M. Foote,M. Foote,10852,P. A.,Jell,J. S.,Jell,"B. D. Johnson, R. Mawson, J. A. Talent",1988,Crinoids from Devonian limestones of eastern Australia,Memoirs of the Queensland Museum,,25,2,355,402,journal article,stated without evidence,,,,,NA,2004-06-14 15:05:20,2004-06-15 08:05:29
P. Wagner,K. Koverman,K. Koverman,10968,H. P.,Woodward,,,,1941,Silurian System of West Virginia,West Virginia Geological Survey,,14,,1,326,journal article,stated without evidence,,,,1%,NA,2004-06-28 10:48:55,2004-06-29 03:48:55
D. Bottjer,M. Clapham,M. Clapham,11030,G. A.,Cooper,C.O.,Dunbar,"H. Duncan, A.K. Miller, J.B. Knight",1953,"Permian fauna at El Antimonio, western Sonora, Mexico",Smithsonian Miscellaneous Collections,,119,2,1,111,serial monograph,stated without evidence,English,,,,NA,2004-07-01 11:10:08,2004-07-02 04:10:08
D. Bottjer,M. Clapham,M. Clapham,11031,R. E.,Grant,,,,1976,Permian brachiopods from southern Thailand,Paleontological Society Memoir,,9,,1,269,serial monograph,stated without evidence,,,"Supplement to Journal of Paleontology, Volume 50, No. 3",,NA,2004-07-01 14:51:37,2004-07-05 02:08:53
D. Bottjer,M. Clapham,M. Clapham,11040,J. B.,Waterhouse,S.,Piyasin,,1970,"Mid-Permian brachiopods from Khao Phrik, Thailand",Palaeontographica Abteilung A,,135,3-6,83,197,journal article,stated without evidence,,,,,NA,2004-07-04 10:49:40,2004-07-05 03:49:40
D. Bottjer,M. Clapham,M. Clapham,11041,G. A.,Cooper,,,,1957,Permian brachiopods from central Oregon,Smithsonian Miscellaneous Contributions,,134,12,1,79,serial monograph,stated without evidence,,,,,NA,2004-07-04 13:09:22,2004-07-05 06:09:22
A. Miller,K. Layou,K. Layou,11080,W. C.,Mansfield,,,,1938,"Oligocene faunas from the lower and upper beds on the A.L. Parrish farm, Washington County, Florida",Journal of the Washington Academy of Sciences,,28,3,93,107,journal article,stated without evidence,,,,,NA,2004-07-08 11:52:41,2004-07-09 04:52:41
A. Miller,K. Layou,K. Layou,11083,W. C.,Mansfield,,,,1932,Pliocene fossils from limestone in southern Florida,United States Geological Survey Professional Paper,,170D,,43,56,serial monograph,stated without evidence,,,,,NA,2004-07-08 13:12:20,2004-07-09 06:12:20
A. Miller,K. Layou,K. Layou,11119,J. R.,DuBar,,,,1962,Neogene Biostratigraphy of the Charlotte Harbor Area in Southwestern Florida,Florida Geological Survey Geological Bulletin 43,,,,1,83,serial monograph,stated without evidence,,,,,NA,2004-07-15 09:04:25,2004-07-16 02:04:25
A. Miller,A. Hendy,A. Hendy,11120,R.A,Scasso,J.M,McArthur,"C.J. del Rio, S. Martinez, M.F. Thirlwall",2001,"87Sr/86Sr Late Miocene age of fossil molluscs in the 'Entrerriense' of the Valdes Peninsula (Chubut, Argentina)",Journal of South American Earth Sciences,,14,,319,329,journal article,stated without evidence,English,,,,NA,2004-07-15 09:16:47,2004-07-16 02:16:47
D. Bottjer,C. Powers,P. Wagner,11123,M.,Hautmann,,,,2001,"Taxonomy and phylogeny of cementing Triassic bivalves (Families Prospondylidae, Plicatulidae, Dimyidae and Ostreidae)",Palaeontology,,44,2,339,373,journal article,stated without evidence,English,10.1111/1475-4983.00183,,,NA,2004-07-15 13:51:26,2017-03-29 05:25:28
D. Bottjer,M. Clapham,P. Wagner,11135,R. E.,Grant,,,,1970,"Brachiopods from the Permian-Triassic boundary beds and age of Chhidru Formation, West Pakistan","Department of Geology, University of Kansas Special Publication",,4,,117,151,book/book chapter,stated without evidence,English,,Stratigraphic Boundary Problems: Permian and Triassic of West Pakistan,,NA,2004-07-16 11:58:43,2015-11-24 08:32:11
D. Bottjer,M. Clapham,P. Wagner,11136,B.,Kummel,C.,Teichert,,1970,"Stratigraphy and paleontology of the Permian-Triassic boundary beds, Salt Range and Trans-Indus Ranges, West Pakistan","Department of Geology, University of Kansas Special Publication",,4,,1,110,book/book chapter,stated without evidence,English,,Stratigraphic Boundary Problems: Permian and Triassic of West Pakistan,,NA,2004-07-16 13:32:53,2015-11-24 08:33:57
A. Miller,K. Layou,K. Layou,11173,L.B.,Kellum,,,,1926,Paleontology and Stratigraphy of the Castle Hayne and Trent Marls in North Carolina,United States Geological Survey Professional Paper,,,143,1,56,serial monograph,stated without evidence,,,,,NA,2004-07-20 12:30:45,2004-07-21 05:30:45
A. Miller,K. Layou,K. Layou,11173,L.B.,Kellum,,,,1926,Paleontology and Stratigraphy of the Castle Hayne and Trent Marls in North Carolina,United States Geological Survey Professional Paper,,,143,1,56,serial monograph,stated without evidence,,,,,,2004-07-20 12:30:45,2004-07-21 05:30:45
T. Olszewski,K. Tracy,K. Tracy,11174,R.Y.,Li,B.,Jones,,2002,Communities and paleoecology of Eifelian (mid-Devonian) brachiopods from the Bird Fiord Formation of Arctic Canada,Canadian Journal of Earth Sciences,,39,,1485,1503,journal article,stated without evidence,,,,,NA,2004-07-20 12:38:49,2004-07-21 05:38:49
A. Miller,K. Layou,A. Hendy,11206,J. R.,Gardner,,,,1947,The Molluscan Fauna of the Alum Bluff Group of Florida,United States Geological Survey Professional Paper,,,142A-H,1,709,serial monograph,stated with evidence,English,,,,NA,2004-07-22 14:30:39,2007-02-20 13:25:51
J. Alroy,C. Simpson,C. Simpson,11207,E. D.,McKee,,,,1982,The Supai Group of the Grand Canyon,United States Geological Survey Professional Paper,,1173,,,,serial monograph,stated without evidence,,,"Chapter F. Biostratigraphy of the Watahomigi Formation is by Mackenzie Gordon, Jr.",,NA,2004-07-22 14:39:26,2004-07-30 02:33:27
A. Miller,A. Hendy,A. Hendy,11240,J. B.,Ivey,,,,1957,"Geology and ground water in the Monroeville area, Alabama",Geological Survey of Alabama Bulletin,,66,,,,serial monograph,stated without evidence,,,,,NA,2004-07-24 23:26:22,2004-07-25 16:26:22
D. Bottjer,M. Clapham,M. Clapham,11297,N.,Fantini Sestini,M.,Glaus,,1966,Brachiopods from the Upper Permian Nesen Formation (North Iran),Rivista Italiana di Paleontologia e Stratigrafia,,72,4,887,930,journal article,stated without evidence,,,,,NA,2004-07-29 17:09:51,2004-07-30 10:09:51
A. Miller,A. Hendy,A. Hendy,11306,W. P.,Woodring,,,,1957,Geology and Paleontology of Canal Zone and adjoining parts of Panama.,United States Geological Survey Professional Paper,,306,A,,,journal article,stated without evidence,,,Geology and description of Tertiary mollusks (Gastropods: Trochidae to Turritellidae),,NA,2004-07-30 09:56:56,2004-07-31 03:23:01
A. Miller,A. Hendy,A. Hendy,11306,W. P.,Woodring,,,,1957,Geology and Paleontology of Canal Zone and adjoining parts of Panama.,United States Geological Survey Professional Paper,,306,A,,,journal article,stated without evidence,,,Geology and description of Tertiary mollusks (Gastropods: Trochidae to Turritellidae),,,2004-07-30 09:56:56,2004-07-31 03:23:01
P. Wagner,K. Koverman,K. Koverman,11371,R.,Ruedemann,,,,1906,Cephalopoda of the Beekmantown and Chazy formations of the Champlain Basin,"Bulletin of the New York State Museum, Paleontology  ",,14,,389,611,journal article,stated without evidence,,,,1%,NA,2004-08-05 09:40:19,2004-08-06 02:40:19
D. Bottjer,M. Clapham,M. Clapham,11385,G. A.,Stukalina,,,,1999,"The Late Permian crinoids from Primorye, Transcaucasia, and North Caucasus",Paleontological Journal,,33,2,139,146,journal article,stated without evidence,,,,,NA,2004-08-06 15:14:35,2004-08-07 08:14:35
T. Olszewski,K. Tracy,M. Clapham,11407,G. A.,Cooper,R. E.,Grant,,1977,"Permian Brachiopods of West Texas, VI",Smithsonian Contributions to Paleobiology,,32,,3161,3370,journal article,stated without evidence,English,,,,NA,2004-08-09 11:38:24,2013-08-28 12:54:45
P. Wagner,P. Wagner,P. Wagner,11416,W. H.,Twenhofel,,,,1928,Geology of Anticosti Island,Geological Survey of Canada Memoir,,154,2132,1,351,journal article,stated without evidence,English,,,,NA,2004-08-10 11:22:19,2011-12-14 12:53:47
D. Bottjer,M. Clapham,M. Clapham,11418,J. B.,Waterhouse,,,,1978,Permian Brachiopoda and Mollusca from north-west Nepal,Palaeontographica Abteilung A,,160,1-6,1,175,journal article,stated without evidence,,,,,NA,2004-08-10 12:25:15,2004-08-11 05:25:26
D. Bottjer,M. Clapham,M. Clapham,11454,G. A.,Cooper,R. E.,Grant,,1972,"Permian brachiopods of west Texas, I",Smithsonian Contributions to Paleobiology,,14,,1,231,serial monograph,stated without evidence,,,,,NA,2004-08-13 19:27:17,2004-08-15 02:03:11
P. Wagner,K. Koverman,P. Wagner,11462,W. T.,Dean,,,,1959,The stratigraphy of the Caradoc series in the Cross Fell Inlier,Proceedings of the Yorkshire Geological Society,,32,2,185,228,journal article,stated without evidence,,,,,NA,2004-08-17 16:17:21,2004-08-25 04:38:17
D. Bottjer,M. Clapham,M. Clapham,11471,R. M.,Finks,,,,1960,Late Paleozoic sponge faunas of the Texas region: The siliceous sponges,Bulletin of the American Museum of Natural History,,120,1,1,160,serial monograph,stated with evidence,English,,,,NA,2004-08-18 11:03:14,2008-11-22 16:21:38
D. Bottjer,M. Clapham,M. Clapham,11472,N. D.,Newell,D.W.,Boyd,,1995,Pectinoid bivalves of the Permian-Triassic crisis,Bulletin of the American Museum of Natural History,,227,,1,95,serial monograph,stated without evidence,,,,,NA,2004-08-18 11:04:59,2004-08-19 04:04:59
D. Bottjer,M. Clapham,M. Clapham,11473,R. L.,Batten,,,,1989,"Permian Gastropoda of the southwestern United States. 7. Pleurotomariacea: Eotomariidae, Lophospiriidae, Gosseletinidae",American Museum Novitates,,2958,,1,64,serial monograph,stated without evidence,,,,,NA,2004-08-18 11:23:06,2004-08-19 04:23:06
D. Bottjer,M. Clapham,M. Clapham,11474,N. D.,Newell,D.W.,Boyd,,1970,Oyster-like Permian Bivalvia,Bulletin of the American Museum of Natural History,,143,4,221,281,serial monograph,stated without evidence,,,,,NA,2004-08-18 11:26:48,2004-08-19 04:26:53
D. Bottjer,M. Clapham,M. Clapham,11476,R. L.,Batten,,,,1958,"Permian Gastropoda of the southwestern United States. 2. Pleurotomariacea: Portlockiellidae, Phymatopleuridae, and Eotomariidae",Bulletin of the American Museum of Natural History,,114,2,153,246,serial monograph,stated without evidence,,,,,NA,2004-08-18 11:31:56,2004-08-19 04:31:56
D. Bottjer,M. Clapham,M. Clapham,11477,E. L.,Yochelson,,,,1960,Permian Gastropoda of the southwestern United States. 3. Bellerophontacea and Patellacea,Bulletin of the American Museum of Natural History,,119,4,208,293,serial monograph,stated without evidence,,,,,NA,2004-08-18 11:38:19,2004-08-19 04:38:19
D. Bottjer,M. Clapham,M. Clapham,11480,D. H.,Erwin,,,,1988,The genus Glyptospira (Gastropoda: Trochacea) from the Permian of the southwestern United States,Journal of Paleontology,,62,6,868,879,journal article,stated without evidence,,,,,NA,2004-08-18 11:41:44,2004-08-19 04:41:47
D. Bottjer,M. Clapham,M. Clapham,11481,E. L.,Yochelson,,,,1956,"Permian Gastropoda of the southwestern United States. 1. Euomphalacea, Trochonematacea, Pesudophoracea, Anomphalacea, Craspedostomatacea, and Platyceratacea",Bulletin of the American Museum of Natural History,,110,3,173,276,serial monograph,stated without evidence,,,,,NA,2004-08-18 11:42:48,2004-08-19 04:42:48
